"Name of country","Within","Borders"
"Ghana","Africa","Burkina Faso / Ivory Coast / Togo","Atlantic Ocean / Gulf of Guinea"
"Greece","Europe","Albania / Bulgaria / Macedonia / Turkey","*Atlantic Ocean / Aegean Sea / Ionian Sea / Mediterranean Sea"
"Grenada","Caribbean","","Atlantic Ocean / Caribbean Sea"
"Guatemala","Central America","Belize / El Salvador / Honduras / Mexico","*Atlantic Ocean / Pacific Ocean / Caribbean Sea"
"Guinea","Africa","Ivory Coast / Guinea-Bissau / Liberia / Mali / Senegal / Sierra Leone","Atlantic Ocean"
"Guinea-Bissau","Africa","Guinea / Senegal","Atlantic Ocean"
"Guyana","South America","Brazil / Suriname / Venezuela","Atlantic Ocean"
"Haiti","Caribbean","Dominican Republic","Atlantic Ocean / Caribbean Sea"
"Honduras","Central America","El Salvador / Guatemala / Nicaragua","*Atlantic Ocean / Pacific Ocean / Caribbean Sea"
"Hungary","Europe","Austria / Croatia / Romania / Serbia / Slovakia / Slovenia / Ukraine",""
"Iceland","Europe","","Atlantic Ocean / Arctic Ocean"
"India","Asia","Bangladesh / Bhutan / China / Myanmar / Nepal / Pakistan","Indian Ocean / Arabian Sea / Bay of Bengal"
"Indonesia","Southeast Asia","East Timor / Malaysia / Papua New Guinea","Indian Ocean / Pacific Ocean / Arafura Sea / Banda Sea / Celebes Sea / Java Sea / Molucca Sea / Timor Sea"
"Iran","Middle East","Afghanistan / Armenia / Azerbaijan / Iraq / Pakistan / Turkey / Turkmenistan","Caspian Sea / *Indian Ocean / Gulf of Oman / Persian Gulf"
"Iraq","Middle East","Iran / Jordan / Kuwait / Saudi Arabia / Syria / Turkey","*Indian Ocean / Persian Gulf"
"Ireland","Europe","United Kingdom","Atlantic Ocean / Irish Sea"
"Israel","Middle East","Egypt / Jordan / Lebanon / Syria","*Atlantic Ocean / Mediterranean Sea"
"Italy","Europe","Austria / France / San Marino / Slovenia / Switzerland / Vatican City","*Atlantic Ocean / Mediterranean Sea"
"Jamaica","Caribbean","","*Atlantic Ocean / Caribbean Sea"
"Japan","Asia","","*Pacific Ocean / East China Sea / Sea of Japan / Sea of Okhotsk"
"Jordan","Middle East","Iraq / Israel / Saudi Arabia / Syria","*Indian Ocean / Gulf of Aqaba"
"Kazakhstan","Asia / Europe","China / Kyrgyzstan / Russia / Turkmenistan / Uzbekistan","Caspian Sea"
"Kenya","Africa","Ethiopia / Somalia / South Sudan / Tanzania / Uganda","Indian Ocean"
"Kiribati","Oceania","","Pacific Ocean"
"Democratic People's Republic of Korea","Asia","China / Republic of Korea / Russia","*Pacific Ocean / Korea Bay / Sea of Japan / Yellow Sea"
"Korea, South","Asia","Democratic People's Republic of Korea","*Pacific Ocean / Sea of Japan / Yellow Sea"
"Kuwait","Middle East","Iraq / Saudi Arabia","*Indian Ocean / Persian Gulf"
"Kyrgyzstan","Asia","China / Kazakhstan / Tajikistan / Uzbekistan",""
"Laos","Southeast Asia","Cambodia / China / Myanmar / Thailand / Vietnam",""
"Latvia","Europe","Belarus / Estonia / Lithuania / Russia","*Atlantic Ocean / Baltic Sea"
"Lebanon","Middle East","Syria / Israel","*Atlantic Ocean / Mediterranean Sea"
"Lesotho","Africa","South Africa",""
"Liberia","Africa","Ivory Coast / Guinea / Sierra Leone","Atlantic Ocean"
